Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,04/06/2026,16:48,04/06/2026,16:57,WB1: POF | Orb: 0.82° | Duration: 9m,9m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,04/07/2026,17:41,04/07/2026,17:51,WB1: POF | Orb: 1.00° | Duration: 10m,10m,WB1-POF-002,Western Transits,#FFA500
WB1 MOON,04/11/2026,15:59,04/11/2026,19:48,WB1: MOON | Orb: 1.00° | Duration: 229m,229m,WB1-MOON-003,Western Transits,#FFA500
WB1 POF,04/12/2026,05:50,04/12/2026,05:54,WB1: POF | Orb: 0.86° | Duration: 4m,4m,WB1-POF-004,Western Transits,#FFA500
WB1 POF,04/13/2026,05:20,04/13/2026,05:23,WB1: POF | Orb: 0.67° | Duration: 3m,3m,WB1-POF-005,Western Transits,#FFA500
WB1 POF,04/14/2026,04:47,04/14/2026,04:51,WB1: POF | Orb: 0.74° | Duration: 4m,4m,WB1-POF-006,Western Transits,#FFA500
WB1 POF,04/15/2026,04:10,04/15/2026,04:15,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,04/16/2026,03:29,04/16/2026,03:34,WB1: POF | Orb: 0.69° | Duration: 5m,5m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,04/17/2026,02:40,04/17/2026,02:46,WB1: POF | Orb: 0.97° | Duration: 6m,6m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,04/18/2026,01:45,04/18/2026,01:52,WB1: POF | Orb: 0.88° | Duration: 7m,7m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,04/19/2026,00:43,04/19/2026,00:50,WB1: POF | Orb: 0.83° | Duration: 7m,7m,WB1-POF-011,Western Transits,#FFA500
WB1 POF,04/19/2026,23:35,04/19/2026,23:44,WB1: POF | Orb: 0.94° | Duration: 9m,9m,WB1-POF-012,Western Transits,#FFA500
WB1 POF,04/20/2026,22:25,04/20/2026,22:34,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-013,Western Transits,#FFA500
WB1 POF,04/21/2026,21:14,04/21/2026,21:23,WB1: POF | Orb: 0.96° | Duration: 9m,9m,WB1-POF-014,Western Transits,#FFA500
WB1 POF,04/22/2026,20:05,04/22/2026,20:14,WB1: POF | Orb: 0.86° | Duration: 9m,9m,WB1-POF-015,Western Transits,#FFA500
WB1 POF,04/23/2026,18:57,04/23/2026,19:06,WB1: POF | Orb: 0.93° | Duration: 9m,9m,WB1-POF-016,Western Transits,#FFA500
WB1 POF,04/24/2026,06:08,04/24/2026,06:12,WB1: POF | Orb: 0.92° | Duration: 4m,4m,WB1-POF-017,Western Transits,#FFA500
WB1 POF,04/25/2026,06:35,04/25/2026,06:39,WB1: POF | Orb: 0.82° | Duration: 4m,4m,WB1-POF-018,Western Transits,#FFA500
WB1 POF,04/26/2026,07:04,04/26/2026,07:09,WB1: POF | Orb: 0.80° | Duration: 5m,5m,WB1-POF-019,Western Transits,#FFA500
WB1 POF,04/27/2026,07:36,04/27/2026,07:42,WB1: POF | Orb: 0.87° | Duration: 6m,6m,WB1-POF-020,Western Transits,#FFA500
WB1 POF,04/28/2026,08:12,04/28/2026,08:19,WB1: POF | Orb: 0.98° | Duration: 7m,7m,WB1-POF-021,Western Transits,#FFA500
WB1 POF,04/29/2026,08:54,04/29/2026,09:01,WB1: POF | Orb: 0.77° | Duration: 7m,7m,WB1-POF-022,Western Transits,#FFA500
WB1 TRANSIT_YOGI,04/29/2026,22:36,04/30/2026,02:12,WB1: TRANSIT_YOGI | Orb: 1.00° | Duration: 216m,216m,WB1-TRANSIT_YOGI-023,Western Transits,#FFA500
WB1 POF,04/30/2026,09:39,04/30/2026,09:48,WB1: POF | Orb: 0.99° | Duration: 9m,9m,WB1-POF-024,Western Transits,#FFA500
WB1 POF,05/01/2026,10:29,05/01/2026,10:38,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-025,Western Transits,#FFA500
WB1 POF,05/02/2026,11:22,05/02/2026,11:32,WB1: POF | Orb: 0.95° | Duration: 10m,10m,WB1-POF-026,Western Transits,#FFA500
WB1 POF,05/03/2026,12:17,05/03/2026,12:26,WB1: POF | Orb: 0.82° | Duration: 9m,9m,WB1-POF-027,Western Transits,#FFA500
WB1 POF,05/04/2026,13:11,05/04/2026,13:21,WB1: POF | Orb: 0.95° | Duration: 10m,10m,WB1-POF-028,Western Transits,#FFA500
WB1 POF,05/05/2026,14:06,05/05/2026,14:16,WB1: POF | Orb: 0.87° | Duration: 10m,10m,WB1-POF-029,Western Transits,#FFA500
WB1 POF,05/06/2026,15:00,05/06/2026,15:10,WB1: POF | Orb: 0.92° | Duration: 10m,10m,WB1-POF-030,Western Transits,#FFA500
WB1 POF,05/07/2026,15:54,05/07/2026,16:04,WB1: POF | Orb: 0.99° | Duration: 10m,10m,WB1-POF-031,Western Transits,#FFA500
WB1 POF,05/08/2026,16:49,05/08/2026,16:59,WB1: POF | Orb: 0.99° | Duration: 10m,10m,WB1-POF-032,Western Transits,#FFA500
WB1 MOON,05/08/2026,23:52,05/09/2026,03:46,WB1: MOON | Orb: 1.00° | Duration: 234m,234m,WB1-MOON-033,Western Transits,#FFA500
WB1 POF,05/09/2026,05:13,05/09/2026,05:17,WB1: POF | Orb: 0.87° | Duration: 4m,4m,WB1-POF-034,Western Transits,#FFA500
WB1 POF,05/09/2026,17:46,05/09/2026,17:56,WB1: POF | Orb: 0.88° | Duration: 10m,10m,WB1-POF-035,Western Transits,#FFA500
WB1 POF,05/10/2026,04:44,05/10/2026,04:47,WB1: POF | Orb: 0.57° | Duration: 3m,3m,WB1-POF-036,Western Transits,#FFA500
WB1 POF,05/11/2026,04:14,05/11/2026,04:17,WB1: POF | Orb: 0.70° | Duration: 3m,3m,WB1-POF-037,Western Transits,#FFA500
WB1 POF,05/12/2026,03:43,05/12/2026,03:47,WB1: POF | Orb: 0.86° | Duration: 4m,4m,WB1-POF-038,Western Transits,#FFA500
WB1 POF,05/13/2026,03:10,05/13/2026,03:14,WB1: POF | Orb: 1.00° | Duration: 4m,4m,WB1-POF-039,Western Transits,#FFA500
WB1 POF,05/14/2026,02:35,05/14/2026,02:39,WB1: POF | Orb: 0.61° | Duration: 4m,4m,WB1-POF-040,Western Transits,#FFA500
WB1 POF,05/15/2026,01:54,05/15/2026,01:59,WB1: POF | Orb: 0.76° | Duration: 5m,5m,WB1-POF-041,Western Transits,#FFA500
WB1 POF,05/16/2026,01:07,05/16/2026,01:12,WB1: POF | Orb: 0.83° | Duration: 5m,5m,WB1-POF-042,Western Transits,#FFA500
WB1 POF,05/17/2026,00:13,05/17/2026,00:19,WB1: POF | Orb: 0.84° | Duration: 6m,6m,WB1-POF-043,Western Transits,#FFA500
WB1 POF,05/17/2026,23:12,05/17/2026,23:19,WB1: POF | Orb: 0.82° | Duration: 7m,7m,WB1-POF-044,Western Transits,#FFA500
WB1 POF,05/18/2026,22:05,05/18/2026,22:13,WB1: POF | Orb: 0.90° | Duration: 8m,8m,WB1-POF-045,Western Transits,#FFA500
WB1 POF,05/19/2026,20:55,05/19/2026,21:04,WB1: POF | Orb: 0.97° | Duration: 9m,9m,WB1-POF-046,Western Transits,#FFA500
WB1 POF,05/20/2026,19:45,05/20/2026,19:54,WB1: POF | Orb: 0.94° | Duration: 9m,9m,WB1-POF-047,Western Transits,#FFA500
WB1 POF,05/21/2026,18:43,05/21/2026,18:45,WB1: POF | Orb: 0.43° | Duration: 2m,2m,WB1-POF-048,Western Transits,#FFA500
WB1 POF,05/25/2026,04:55,05/25/2026,04:57,WB1: POF | Orb: 0.06° | Duration: 2m,2m,WB1-POF-049,Western Transits,#FFA500
WB1 TRANSIT_YOGI,05/25/2026,05:13,05/25/2026,08:44,WB1: TRANSIT_YOGI | Orb: 0.99° | Duration: 211m,211m,WB1-TRANSIT_YOGI-050,Western Transits,#FFA500
WB1 POF,05/26/2026,05:21,05/26/2026,05:27,WB1: POF | Orb: 0.98° | Duration: 6m,6m,WB1-POF-051,Western Transits,#FFA500
WB1 POF,05/27/2026,05:54,05/27/2026,06:00,WB1: POF | Orb: 0.76° | Duration: 6m,6m,WB1-POF-052,Western Transits,#FFA500
WB1 POF,05/28/2026,06:30,05/28/2026,06:37,WB1: POF | Orb: 0.92° | Duration: 7m,7m,WB1-POF-053,Western Transits,#FFA500
WB1 POF,05/29/2026,07:11,05/29/2026,07:19,WB1: POF | Orb: 0.97° | Duration: 8m,8m,WB1-POF-054,Western Transits,#FFA500
WB1 POF,05/30/2026,07:57,05/30/2026,08:06,WB1: POF | Orb: 0.93° | Duration: 9m,9m,WB1-POF-055,Western Transits,#FFA500
WB1 POF,05/31/2026,08:47,05/31/2026,08:56,WB1: POF | Orb: 0.87° | Duration: 9m,9m,WB1-POF-056,Western Transits,#FFA500
WB1 POF,06/01/2026,09:39,06/01/2026,09:49,WB1: POF | Orb: 0.96° | Duration: 10m,10m,WB1-POF-057,Western Transits,#FFA500
WB1 POF,06/02/2026,10:33,06/02/2026,10:43,WB1: POF | Orb: 0.98° | Duration: 10m,10m,WB1-POF-058,Western Transits,#FFA500
WB1 POF,06/03/2026,11:28,06/03/2026,11:38,WB1: POF | Orb: 0.94° | Duration: 10m,10m,WB1-POF-059,Western Transits,#FFA500
WB1 POF,06/04/2026,12:23,06/04/2026,12:33,WB1: POF | Orb: 0.96° | Duration: 10m,10m,WB1-POF-060,Western Transits,#FFA500
