Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,03/02/2026,12:48,03/02/2026,12:57,WB1: POF | Orb: 0.99° | Duration: 9m,9m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,03/03/2026,13:46,03/03/2026,13:55,WB1: POF | Orb: 0.83° | Duration: 9m,9m,WB1-POF-002,Western Transits,#FFA500
WB1 POF,03/04/2026,14:45,03/04/2026,14:54,WB1: POF | Orb: 0.86° | Duration: 9m,9m,WB1-POF-003,Western Transits,#FFA500
WB1 POF,03/05/2026,15:44,03/05/2026,15:54,WB1: POF | Orb: 0.90° | Duration: 10m,10m,WB1-POF-004,Western Transits,#FFA500
WB1 TRANSIT_YOGI,03/10/2026,10:30,03/10/2026,14:13,WB1: TRANSIT_YOGI | Orb: 1.00° | Duration: 223m,223m,WB1-TRANSIT_YOGI-005,Western Transits,#FFA500
WB1 MOON,03/15/2026,06:56,03/15/2026,10:41,WB1: MOON | Orb: 0.99° | Duration: 225m,225m,WB1-MOON-006,Western Transits,#FFA500
WB1 POF,03/16/2026,06:19,03/16/2026,06:24,WB1: POF | Orb: 0.97° | Duration: 5m,5m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,03/17/2026,05:42,03/17/2026,05:47,WB1: POF | Orb: 0.76° | Duration: 5m,5m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,03/18/2026,04:59,03/18/2026,05:04,WB1: POF | Orb: 0.80° | Duration: 5m,5m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,03/19/2026,04:10,03/19/2026,04:16,WB1: POF | Orb: 0.75° | Duration: 6m,6m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,03/20/2026,03:13,03/20/2026,03:21,WB1: POF | Orb: 0.99° | Duration: 8m,8m,WB1-POF-011,Western Transits,#FFA500
WB1 POF,03/21/2026,02:11,03/21/2026,02:19,WB1: POF | Orb: 0.92° | Duration: 8m,8m,WB1-POF-012,Western Transits,#FFA500
