Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,03/01/2026,04:21,03/01/2026,04:27,WB1: POF | Orb: 0.93° | Duration: 6m,6m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,03/02/2026,03:32,03/02/2026,03:38,WB1: POF | Orb: 0.83° | Duration: 6m,6m,WB1-POF-002,Western Transits,#FFA500
WB1 POF,03/03/2026,02:38,03/03/2026,02:45,WB1: POF | Orb: 0.91° | Duration: 7m,7m,WB1-POF-003,Western Transits,#FFA500
WB1 POF,03/04/2026,01:41,03/04/2026,01:49,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-004,Western Transits,#FFA500
WB1 POF,03/05/2026,00:42,03/05/2026,00:50,WB1: POF | Orb: 0.84° | Duration: 8m,8m,WB1-POF-005,Western Transits,#FFA500
WB1 POF,03/05/2026,23:42,03/05/2026,23:50,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-006,Western Transits,#FFA500
WB1 POF,03/06/2026,22:42,03/06/2026,22:51,WB1: POF | Orb: 0.91° | Duration: 9m,9m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,03/07/2026,21:43,03/07/2026,21:52,WB1: POF | Orb: 0.95° | Duration: 9m,9m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,03/08/2026,06:28,03/08/2026,06:32,WB1: POF | Orb: 0.83° | Duration: 4m,4m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,03/08/2026,21:45,03/08/2026,21:54,WB1: POF | Orb: 1.00° | Duration: 9m,9m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,03/09/2026,06:52,03/09/2026,06:56,WB1: POF | Orb: 0.94° | Duration: 4m,4m,WB1-POF-011,Western Transits,#FFA500
WB1 POF,03/09/2026,20:49,03/09/2026,20:57,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-012,Western Transits,#FFA500
WB1 POF,03/10/2026,07:15,03/10/2026,07:19,WB1: POF | Orb: 0.71° | Duration: 4m,4m,WB1-POF-013,Western Transits,#FFA500
WB1 POF,03/10/2026,19:52,03/10/2026,20:01,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-014,Western Transits,#FFA500
WB1 POF,03/11/2026,07:36,03/11/2026,07:40,WB1: POF | Orb: 0.95° | Duration: 4m,4m,WB1-POF-015,Western Transits,#FFA500
WB1 POF,03/11/2026,18:55,03/11/2026,19:04,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-016,Western Transits,#FFA500
WB1 POF,03/12/2026,07:58,03/12/2026,08:02,WB1: POF | Orb: 0.80° | Duration: 4m,4m,WB1-POF-017,Western Transits,#FFA500
WB1 POF,03/12/2026,17:58,03/12/2026,18:07,WB1: POF | Orb: 0.94° | Duration: 9m,9m,WB1-POF-018,Western Transits,#FFA500
WB1 POF,03/13/2026,08:21,03/13/2026,08:25,WB1: POF | Orb: 0.66° | Duration: 4m,4m,WB1-POF-019,Western Transits,#FFA500
WB1 POF,03/13/2026,17:00,03/13/2026,17:09,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-020,Western Transits,#FFA500
WB1 POF,03/14/2026,08:45,03/14/2026,08:50,WB1: POF | Orb: 0.94° | Duration: 5m,5m,WB1-POF-021,Western Transits,#FFA500
WB1 POF,03/15/2026,09:13,03/15/2026,09:18,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-022,Western Transits,#FFA500
WB1 POF,03/16/2026,09:46,03/16/2026,09:51,WB1: POF | Orb: 0.78° | Duration: 5m,5m,WB1-POF-023,Western Transits,#FFA500
WB1 POF,03/17/2026,10:24,03/17/2026,10:31,WB1: POF | Orb: 1.00° | Duration: 7m,7m,WB1-POF-024,Western Transits,#FFA500
WB1 POF,03/18/2026,11:11,03/18/2026,11:18,WB1: POF | Orb: 0.80° | Duration: 7m,7m,WB1-POF-025,Western Transits,#FFA500
WB1 POF,03/19/2026,12:05,03/19/2026,12:13,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-026,Western Transits,#FFA500
WB1 POF,03/20/2026,13:06,03/20/2026,13:15,WB1: POF | Orb: 0.88° | Duration: 9m,9m,WB1-POF-027,Western Transits,#FFA500
WB1 POF,03/21/2026,14:12,03/21/2026,14:21,WB1: POF | Orb: 0.87° | Duration: 9m,9m,WB1-POF-028,Western Transits,#FFA500
WB1 TRANSIT_YOGI,03/21/2026,21:29,03/22/2026,00:34,WB1: TRANSIT_YOGI | Orb: 0.99° | Duration: 185m,185m,WB1-TRANSIT_YOGI-029,Western Transits,#FFA500
WB1 POF,03/22/2026,15:20,03/22/2026,15:30,WB1: POF | Orb: 0.87° | Duration: 10m,10m,WB1-POF-030,Western Transits,#FFA500
WB1 POF,03/23/2026,16:28,03/23/2026,16:37,WB1: POF | Orb: 0.86° | Duration: 9m,9m,WB1-POF-031,Western Transits,#FFA500
WB1 MOON,03/26/2026,19:54,03/26/2026,23:21,WB1: MOON | Orb: 0.99° | Duration: 207m,207m,WB1-MOON-032,Western Transits,#FFA500
WB1 POF,03/27/2026,05:43,03/27/2026,05:47,WB1: POF | Orb: 0.72° | Duration: 4m,4m,WB1-POF-033,Western Transits,#FFA500
WB1 POF,03/28/2026,05:08,03/28/2026,05:12,WB1: POF | Orb: 0.68° | Duration: 4m,4m,WB1-POF-034,Western Transits,#FFA500
WB1 POF,03/29/2026,04:30,03/29/2026,04:35,WB1: POF | Orb: 0.88° | Duration: 5m,5m,WB1-POF-035,Western Transits,#FFA500
WB1 POF,03/30/2026,03:49,03/30/2026,03:55,WB1: POF | Orb: 0.99° | Duration: 6m,6m,WB1-POF-036,Western Transits,#FFA500
