Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,04/05/2026,21:36,04/05/2026,21:45,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,04/06/2026,20:39,04/06/2026,20:48,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-002,Western Transits,#FFA500
WB1 POF,04/07/2026,19:42,04/07/2026,19:51,WB1: POF | Orb: 0.88° | Duration: 9m,9m,WB1-POF-003,Western Transits,#FFA500
WB1 POF,04/08/2026,18:45,04/08/2026,18:54,WB1: POF | Orb: 0.92° | Duration: 9m,9m,WB1-POF-004,Western Transits,#FFA500
WB1 POF,04/09/2026,17:48,04/09/2026,17:57,WB1: POF | Orb: 0.92° | Duration: 9m,9m,WB1-POF-005,Western Transits,#FFA500
WB1 POF,04/10/2026,05:42,04/10/2026,05:45,WB1: POF | Orb: 0.58° | Duration: 3m,3m,WB1-POF-006,Western Transits,#FFA500
WB1 POF,04/11/2026,06:04,04/11/2026,06:08,WB1: POF | Orb: 0.77° | Duration: 4m,4m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,04/12/2026,06:28,04/12/2026,06:32,WB1: POF | Orb: 0.76° | Duration: 4m,4m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,04/13/2026,06:55,04/13/2026,06:59,WB1: POF | Orb: 0.67° | Duration: 4m,4m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,04/14/2026,07:26,04/14/2026,07:31,WB1: POF | Orb: 0.67° | Duration: 5m,5m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,04/15/2026,08:02,04/15/2026,08:08,WB1: POF | Orb: 0.95° | Duration: 6m,6m,WB1-POF-011,Western Transits,#FFA500
WB1 POF,04/16/2026,08:47,04/16/2026,08:54,WB1: POF | Orb: 0.83° | Duration: 7m,7m,WB1-POF-012,Western Transits,#FFA500
WB1 TRANSIT_YOGI,04/16/2026,13:10,04/16/2026,16:15,WB1: TRANSIT_YOGI | Orb: 1.00° | Duration: 185m,185m,WB1-TRANSIT_YOGI-013,Western Transits,#FFA500
WB1 POF,04/17/2026,09:40,04/17/2026,09:48,WB1: POF | Orb: 0.90° | Duration: 8m,8m,WB1-POF-014,Western Transits,#FFA500
WB1 POF,04/18/2026,10:42,04/18/2026,10:50,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-015,Western Transits,#FFA500
WB1 POF,04/19/2026,11:49,04/19/2026,11:58,WB1: POF | Orb: 0.88° | Duration: 9m,9m,WB1-POF-016,Western Transits,#FFA500
WB1 POF,04/20/2026,12:59,04/20/2026,13:08,WB1: POF | Orb: 0.85° | Duration: 9m,9m,WB1-POF-017,Western Transits,#FFA500
WB1 POF,04/21/2026,14:08,04/21/2026,14:18,WB1: POF | Orb: 0.91° | Duration: 10m,10m,WB1-POF-018,Western Transits,#FFA500
WB1 POF,04/22/2026,15:15,04/22/2026,15:25,WB1: POF | Orb: 0.95° | Duration: 10m,10m,WB1-POF-019,Western Transits,#FFA500
WB1 MOON,04/23/2026,01:35,04/23/2026,04:59,WB1: MOON | Orb: 0.99° | Duration: 204m,204m,WB1-MOON-020,Western Transits,#FFA500
WB1 POF,04/23/2026,05:07,04/23/2026,05:10,WB1: POF | Orb: 0.69° | Duration: 3m,3m,WB1-POF-021,Western Transits,#FFA500
WB1 POF,04/23/2026,16:20,04/23/2026,16:30,WB1: POF | Orb: 0.91° | Duration: 10m,10m,WB1-POF-022,Western Transits,#FFA500
